,CPI,GDP,Mortgage Rate,Income,Rental Vacancy Rate,House Supply,Employment Level,Consumer Sentiment,House Prices,House Values
2008-02-02,212.174,14706.538,5.68,63455.0,10.1,9.3,144607.0,78.4,183300.0,208073.97761243072
2008-02-09,212.687,14706.538,5.67,63455.0,10.1,9.7,144550.0,70.8,179900.0,208073.97761243072
2008-02-16,212.687,14706.538,5.72,63455.0,10.1,9.7,144550.0,70.8,180000.0,208073.97761243072
2008-02-23,212.687,14706.538,6.04,63455.0,10.1,9.7,144550.0,70.8,175500.0,208073.97761243072
2008-03-01,212.687,14706.538,6.24,63455.0,10.1,9.7,144550.0,70.8,182000.0,206639.45502305223
2008-03-08,213.448,14706.538,6.03,63455.0,10.1,10.5,145108.0,69.5,180000.0,206639.45502305223
2008-03-15,213.448,14706.538,6.13,63455.0,10.1,10.5,145108.0,69.5,185000.0,206639.45502305223
2008-03-22,213.448,14706.538,5.87,63455.0,10.1,10.5,145108.0,69.5,186500.0,206639.45502305223
2008-03-29,213.448,14706.538,5.85,63455.0,10.1,10.5,145108.0,69.5,186400.0,206639.45502305223
2008-04-05,213.942,14865.701,5.88,63455.0,10.0,10.3,145921.0,62.6,185000.0,205141.4468784712
2008-04-12,213.942,14865.701,5.88,63455.0,10.0,10.3,145921.0,62.6,185000.0,205141.4468784712
2008-04-19,213.942,14865.701,5.88,63455.0,10.0,10.3,145921.0,62.6,187000.0,205141.4468784712
2008-04-26,213.942,14865.701,6.03,63455.0,10.0,10.3,145921.0,62.6,184000.0,205141.4468784712
2008-05-03,215.208,14865.701,6.06,63455.0,10.0,10.7,145927.0,59.8,186000.0,203782.4253380984
2008-05-10,215.208,14865.701,6.05,63455.0,10.0,10.7,145927.0,59.8,185000.0,203782.4253380984
2008-05-17,215.208,14865.701,6.01,63455.0,10.0,10.7,145927.0,59.8,187500.0,203782.4253380984
2008-05-24,215.208,14865.701,5.98,63455.0,10.0,10.7,145927.0,59.8,186000.0,203782.4253380984
2008-05-31,215.208,14865.701,6.08,63455.0,10.0,10.7,145927.0,59.8,191000.0,203782.4253380984
2008-06-07,217.463,14865.701,6.09,63455.0,10.0,10.7,146649.0,56.4,187000.0,202211.95128638743
2008-06-14,217.463,14865.701,6.32,63455.0,10.0,10.7,146649.0,56.4,190000.0,202211.95128638743
2008-06-21,217.463,14865.701,6.42,63455.0,10.0,10.7,146649.0,56.4,195000.0,202211.95128638743
2008-06-28,217.463,14865.701,6.45,63455.0,10.0,10.7,146649.0,56.4,196000.0,202211.95128638743
2008-07-05,219.016,14898.999,6.35,63455.0,9.9,10.5,146867.0,61.2,194000.0,200372.7398551798
2008-07-12,219.016,14898.999,6.37,63455.0,9.9,10.5,146867.0,61.2,195000.0,200372.7398551798
2008-07-19,219.016,14898.999,6.26,63455.0,9.9,10.5,146867.0,61.2,195000.0,200372.7398551798
2008-07-26,219.016,14898.999,6.63,63455.0,9.9,10.5,146867.0,61.2,190000.0,200372.7398551798
2008-08-02,219.016,14898.999,6.52,63455.0,9.9,10.5,146867.0,61.2,191000.0,198149.98259012023
2008-08-09,218.69,14898.999,6.52,63455.0,9.9,11.3,145909.0,63.0,185084.0,198149.98259012023
2008-08-16,218.69,14898.999,6.52,63455.0,9.9,11.3,145909.0,63.0,190000.0,198149.98259012023
2008-08-23,218.69,14898.999,6.47,63455.0,9.9,11.3,145909.0,63.0,188000.0,198149.98259012023
2008-08-30,218.69,14898.999,6.4,63455.0,9.9,11.3,145909.0,63.0,190000.0,198149.98259012023
2008-09-06,218.877,14898.999,6.35,63455.0,9.9,10.9,145310.0,70.3,179989.0,196464.00785388492
2008-09-13,218.877,14898.999,5.93,63455.0,9.9,10.9,145310.0,70.3,183500.0,196464.00785388492
2008-09-20,218.877,14898.999,5.78,63455.0,9.9,10.9,145310.0,70.3,181000.0,196464.00785388492
2008-09-27,218.877,14898.999,6.09,63455.0,9.9,10.9,145310.0,70.3,178075.0,196464.00785388492
2008-10-04,216.995,14608.208,6.1,63455.0,10.1,11.6,145543.0,57.6,178900.0,194557.542962258
2008-10-11,216.995,14608.208,5.94,63455.0,10.1,11.6,145543.0,57.6,177500.0,194557.542962258
